county_fips,state,county_name,population_2024,total_votes_2024,dem_margin_2024_pp,p_high_vol,p_high_vol_state_rf,S_persuadability,S_electoral_weight,S_volatility_predicted,S_volatility_predicted_state_rf,S_uncertainty,S_dem_opportunity,S_misfit,DPS,DPS_state_rf,PersuasionScore,PersuasionScore_pooled,state_priority_pct,state_persuasion_pct,old_priority_score,volatility_class,race_entropy_raw,kmeans_cluster_label,new_rank,new_rank_state_rf,persuasion_rank,persuasion_rank_pooled,dps_rank_shift_state_rf,persuasion_rank_shift_pooled,old_rank,rank_change
42031,PA,Clarion County,37179,39466.0,-53.07859930066387,0.3121806930228277,0.12123184054507588,0.2939274207994869,0.11637960788280238,0.3121806930228277,0.12123184054507588,0.0005560004145461761,0.4899360150550162,0.00022177365123327684,0.24189165401456045,0.1941544408951225,0.16319267744311028,0.2586671036819862,0.36363636363636365,0.25757575757575757,0.1312565669611202,Volatile,0.2011452253020064,3,43,58,50,34,-15,-16,46,3
42097,PA,Northumberland County,90560,87044.0,-39.92693350489408,0.04884500484154071,0.13593629703629714,0.3741196984243086,0.2013198715311704,0.04884500484154071,0.13593629703629714,0.0008120393082909905,0.6835487709955931,0.00032474735829062467,0.24155533349349037,0.2633281565421795,0.2118280410070183,0.1682823949096401,0.3484848484848485,0.4242424242424242,0.1728662373190679,Moderate,0.3101039820002492,3,44,38,39,53,6,14,33,-11
42033,PA,Clearfield County,78635,80860.0,-51.531041305960926,0.14922503703516452,0.1373300532800533,0.3391476100068512,0.1919126411211999,0.14922503703516452,0.1373300532800533,0.003995873207156553,0.5586249198986515,0.0016052214863651528,0.240100089713931,0.23712634377515318,0.20143008942203944,0.20737758129959505,0.33333333333333337,0.3787878787878788,0.1058593090171937,Stable,0.2479436892584562,3,45,43,42,42,2,0,50,5
42087,PA,Mifflin County,46041,44142.0,-56.40433147569209,0.1520943650895287,0.06257565783889309,0.3395955170148501,0.1264621427630501,0.1520943650895287,0.06257565783889309,3.91312951505407e-05,0.6150851758504599,1.3899259537593547e-05,0.23142539060560688,0.20904571379294798,0.14780224386392157,0.1925615974892394,0.31818181818181823,0.1515151515151515,0.0666339989012793,Very Stable,0.2063531529361149,3,46,50,57,45,-4,-12,63,17
42121,PA,Venango County,49801,53464.0,-42.11806075115966,0.15575993433463706,0.12915158942364827,0.3052185748906909,0.1450794499125377,0.15575993433463706,0.12915158942364827,0.002091044164369782,0.6274159607112002,0.0008391374552344738,0.23004637705527076,0.22339429082752355,0.1771503009126313,0.19045447336812565,0.303030303030303,0.28787878787878785,0.1019663242970208,Very Stable,0.2090075913056122,3,47,45,48,46,2,-2,53,6
42039,PA,Crawford County,82716,85744.0,-39.24939354357157,0.09853811330537095,0.1393932866153455,0.33146511329329936,0.19937075061930262,0.09853811330537095,0.1393932866153455,0.0030844116898331997,0.5756372744250857,0.0012386499475408425,0.22945298485107155,0.23966677817856516,0.20240560928582324,0.18197802263083596,0.28787878787878785,0.3939393939393939,0.1342308162016459,Very Stable,0.224157173524614,3,48,42,41,49,6,8,43,-5
42065,PA,Jefferson County,43864,46258.0,-58.48934238402006,0.15449395193550547,0.10951258480082013,0.2917006567803171,0.13084856406620327,0.15449395193550547,0.10951258480082013,0.0005543736608527583,0.6737945503256639,0.00022111940352962295,0.22851275191165563,0.2172674101279843,0.16039359761204014,0.18288428117938282,0.2727272727272727,0.24242424242424243,0.0529048700068701,Very Stable,0.1497141927171424,3,49,47,51,48,2,-3,64,15
42083,PA,McKean County,39904,39364.0,-47.18016461741693,0.15211385323127788,0.11762293262293262,0.32149209211774865,0.11615319369168765,0.15211385323127788,0.11762293262293262,0.0005766742044104323,0.6226798243172442,0.00023008823481120456,0.22530352382918548,0.21668079367709916,0.16822278776382538,0.185468248067998,0.25757575757575757,0.2727272727272727,0.0940841576656732,Very Stable,0.2569136814196586,3,50,48,49,47,2,-2,55,5
42111,PA,Somerset County,72799,81762.0,-57.23196594995229,0.1088328816111907,0.05992784160284159,0.2857128852697288,0.1933066569441253,0.1088328816111907,0.05992784160284159,0.0004761684846802394,0.6062248702815654,0.0001896668504280919,0.2227649230977604,0.2105386630956731,0.14971880635488433,0.17417132635905888,0.24242424242424243,0.16666666666666663,0.0705649847897082,Very Stable,0.2210272014574258,3,51,49,56,52,2,-4,62,11
42099,PA,Perry County,46239,51450.0,-49.32167152575316,0.15176077764825122,0.09145000584211116,0.19882919019606268,0.14120409130587971,0.15176077764825122,0.09145000584211116,7.826839661884133e-05,0.7189131897769432,2.9639416678261863e-05,0.21281636843675109,0.19773867548521606,0.1307333232965412,0.1608887091996112,0.2272727272727273,0.10606060606060608,0.102034285999934,Very Stable,0.2001775662121612,1,52,56,60,55,-4,-5,52,0
