county_fips,county_name,dem_margin_2016,dem_margin_2020,dem_margin_2024,d_16_20,d_20_24,swing_dir_score,swing_mag_16_20,swing_mag_20_24,z_swing_mag_16_20,z_swing_mag_20_24,vol_z_abs_sum,vol_z_euc
26059,Hillsdale County,-0.9753625637688728,-1.0266693263037945,-1.171067357879748,-0.051306762534921724,-0.14439803157595343,74.08595516577572,0.051306762534921724,0.14439803157595343,-0.7096323983816825,0.45241429248471526,-0.2572181058969672,0.8415799622599057
26061,Houghton County,0.2954656087601018,0.3580389538686042,0.2416885037739632,0.06257334510850238,-0.11635045009464098,-72.80436867301553,0.06257334510850238,0.11635045009464098,-0.5941321388841267,0.10955564258931645,-0.4845764962948103,0.6041485225324856
26063,Huron County,-0.6374636498792717,-0.6732020616877871,-0.727862463707246,-0.035738411808515336,-0.05466040201945899,19.534759569904285,0.035738411808515336,0.05466040201945899,-0.8692325732444158,-0.644554532975433,-1.5137871062198487,1.0821348401970465
26065,Ingham County,2.047809616454292,2.2676896283584296,2.1638359478179887,0.21988001190413753,-0.10385368054044086,-228.35348513520634,0.21988001190413753,0.10385368054044086,1.0185095576491527,-0.0432071024003626,0.9753024552487901,1.0194256092135945
26067,Ionia County,-0.3264452377897767,-0.3036195540210582,-0.3684459872392563,0.022825683768718463,-0.06482643321819809,-14.797076644925355,0.022825683768718463,0.06482643321819809,-1.0016084227691142,-0.5202831502925261,-1.5218915730616405,1.1286779828810112
26069,Iosco County,-0.2891485881774622,-0.2320215828840892,-0.3156826043784999,0.057127005293373,-0.08366102149441068,-47.79303617760191,0.057127005293373,0.08366102149441068,-0.649965720882132,-0.2900457762779242,-0.9400114971600562,0.7117457345558829
26071,Iron County,-0.2207094534732741,-0.1016308434736354,-0.2635468976452453,0.1190786099996387,-0.16191605417160992,-192.8073866738151,0.1190786099996387,0.16191605417160992,-0.01486396104213821,0.6665577322670613,0.6516937712249231,0.6667234417529277
26073,Isabella County,0.7910393101163024,0.8384645935327306,0.6343180910660055,0.047425283416428266,-0.20414650246672517,-96.81705737957014,0.047425283416428266,0.20414650246672517,-0.7494236875762957,1.182790281465208,0.4333665938889123,1.4002245225066583
26075,Jackson County,0.1159507766260153,0.1600993355394852,0.0663746182851221,0.04414855891346989,-0.09372471725436309,-41.37811201352556,0.04414855891346989,0.09372471725436309,-0.7830152871515884,-0.1670253602925288,-0.9500406474441172,0.8006312577547379
26077,Kalamazoo County,1.4671733782616632,1.7128513357865016,1.6715478764261076,0.24567795752483845,-0.041303459360394035,-101.47349534371777,0.24567795752483845,0.041303459360394035,1.2829792310603165,-0.8078321877660439,0.4751470432942726,1.5161228680166372
26079,Kalkaska County,-0.8440675027004685,-0.773321727536339,-0.8212966459817349,0.0707457751641295,-0.04797491844539592,-33.94022793855429,0.0707457751641295,0.04797491844539592,-0.5103518278638199,-0.7262790793014098,-1.2366309071652297,0.8876600076802185
26081,Kent County,0.8155855472648486,1.194980878894886,1.1629598825358831,0.37939533163003736,-0.032020996359002796,-121.48616532748085,0.37939533163003736,0.032020996359002796,2.653793433824713,-0.921302674855331,1.7324907589693819,2.809166817422338
26083,Keweenaw County,0.1190727671992045,0.4403782758378839,0.4163498841970932,0.3213055086386794,-0.024028391640790736,-77.2045459791366,0.3213055086386794,0.024028391640790736,2.058281033693553,-1.0190057037121902,1.0392753299813626,2.2967136168579176
26085,Lake County,0.0004413259834588,-0.1362846549656365,-0.3812314016034917,-0.1367259809490953,-0.24494674663785523,334.9058421435027,0.1367259809490953,0.24494674663785523,0.1660494535447728,1.681539759784281,1.8475892133290537,1.6897184335734443
26087,Lapeer County,-0.6329346060839555,-0.5510930008642574,-0.694476987181236,0.08184160521969808,-0.14338398631697857,-117.34775602980751,0.08184160521969808,0.14338398631697857,-0.3966020512665984,0.4400184219653053,0.04341637069870685,0.5923760619215728
26089,Leelanau County,0.8127288683910147,1.1562982162794866,1.2612398396978206,0.34356934788847193,0.10494162341833402,360.5472512419462,0.34356934788847193,0.10494162341833402,2.286520537018442,-0.02990789417714052,2.2566126428413016,2.2867161276252057
26091,Lenawee County,0.075573538211035,0.1236540133936164,-0.0054274975848359,0.04808047518258139,-0.1290815109784523,-62.06300385129583,0.04808047518258139,0.1290815109784523,-0.7427069375310069,0.2651824066747673,-0.47752453085623964,0.7886287490743086
26093,Livingston County,-0.2736826393331623,0.0121948156938869,-0.0426103426168253,0.2858774550270492,-0.0548051583107122,-156.6755918022094,0.2858774550270492,0.0548051583107122,1.6950875489866695,-0.642785006194095,1.0523025427925745,1.8128690970165433
26095,Luce County,-0.7722773485656718,-0.794343725473396,-0.9883124421603297,-0.022066376907724283,-0.1939687166869336,42.80186810721466,0.022066376907724283,0.1939687166869336,-1.0093925169174813,1.0583752086822324,0.04898269176475112,1.4625427636695507
26097,Mackinac County,-0.1769414255017853,-0.0380916020629326,-0.0811980075043466,0.1388498234388527,-0.043106405441413996,-59.853167846239316,0.1388498234388527,0.043106405441413996,0.18782219226983524,-0.7857926525717326,-0.5979704603018974,0.8079277620831993
26099,Macomb County,0.4680472711628326,0.610183284871061,0.3793694383686284,0.14213601370822837,-0.23081384650243258,-328.06960050518677,0.14213601370822837,0.23081384650243258,0.22151083089582513,1.5087766620902414,1.7302874929860665,1.5249505120732048
26101,Manistee County,0.3102539664714975,0.3209008284520227,0.2864777521112859,0.010646861980525224,-0.034423076340736825,-3.6649774274490823,0.010646861980525224,0.034423076340736825,-1.1264605744951681,-0.8919392197557595,-2.0183997942509277,1.436826015086899
26103,Marquette County,1.1164876577136047,1.4012212175452006,1.3016159171049633,0.2847335598315959,-0.0996053004402373,-283.6097177244439,0.2847335598315959,0.0996053004402373,1.6833608172070897,-0.09514006019812399,1.5882207570089657,1.6860472330165084
